firstName,surname,id,team,season,jumperNumber,position,providerId,dateOfBirth,draftYear,heightInCm,weightInKg,recruitedFrom,debutYear,draftType,draftPosition,data_accessed
Toby,Murray,5185,Adelaide,2026,39,RUCK,CD_I1020950,3/11/2003,2024,200,0,Wangaratta Rovers/Adelaide (SANFL),2026,other,7,27/04/2026
Luke,Nankervis,5304,Adelaide,2026,27,MEDIUM_DEFENDER,CD_I1021031,25/05/2003,2021,189,0,Bentleigh (Vic)/Bentleigh SC (Vic)/Sandringham U18,2023,preseason,2,27/04/2026
Lachlan,McAndrew,4951,Adelaide,2026,42,RUCK,CD_I1021200,26/05/2000,2021,210,0,Manly-Warringah (NSW)/St Augustine's College (NSW)/Sydney VFL/Sydney Swans,2023,other,12,27/04/2026
Tyler,Welsh,10575,Adelaide,2026,17,KEY_FORWARD,CD_I1022447,15/08/2006,2025,192,0,Henley FC Juniors/Woodville-West Torrens (SANFL),NA,rookieElevation,11,27/04/2026
Sid,Draper,10256,Adelaide,2026,5,MIDFIELDER_FORWARD,CD_I1022607,5/07/2006,2024,182,0,Willunga/South Adelaide (SANFL),2025,nationalDraft,4,27/04/2026
Hugh,Bond,5404,Adelaide,2026,21,MEDIUM_DEFENDER,CD_I1023534,25/09/2004,2022,185,0,North Ballarat (Vic)/Ballarat Grammar (Vic)/GWV U18,2024,nationalDraft,50,27/04/2026
Daniel,Curtin,7336,Adelaide,2026,6,MIDFIELDER,CD_I1024023,8/03/2005,2023,197,0,West Coast JFC (WA)/Claremont (WAFL),2024,nationalDraft,8,27/04/2026
Oscar,Ryan,6623,Adelaide,2026,22,MEDIUM_DEFENDER,CD_I1027893,15/05/2005,2023,187,0,Shepparton United Football Club (Vic)/Murray U18,NA,nationalDraft,27,27/04/2026
Charlie,Edwards,8381,Adelaide,2026,11,MIDFIELDER,CD_I1028671,18/05/2005,2023,191,0,Sandhurst Football Netball Club (Vic)/Sandringham U18,2026,nationalDraft,21,27/04/2026
Mitchell,Marsh,11176,Adelaide,2026,26,KEY_FORWARD,CD_I1031747,15/02/2007,2025,190,0,Kangarilla (SA)/West Adelaide (SANFL),NA,nationalDraft,22,27/04/2026
Finnbar,Maley,8920,Adelaide,2026,36,KEY_FORWARD,CD_I1031792,18/07/2003,2025,197,0,Eltham (Vic)/Northern Bullants (VFL)/North Melbourne,2025,other,NA,27/04/2026
Archie,Ludowyke,12451,Adelaide,2026,34,KEY_FORWARD,CD_I1033053,19/11/2007,2025,197,0,East Sandringham JFC (Vic)/Sandringham U18,NA,nationalDraft,50,27/04/2026
Indy,Cotton,15852,Adelaide,2026,33,MEDIUM_FORWARD,CD_I1044595,8/05/2007,2025,194,0,BA Centre of Excellence (Basketball),NA,other,NA,27/04/2026
Taylor,Walker,35,Adelaide,2026,13,KEY_FORWARD,CD_I280506,25/04/1990,2007,192,0,North Broken Hill (NSW)/NSW-ACT U18,2009,other,75,27/04/2026
Rory,Laird,193,Adelaide,2026,29,MEDIUM_DEFENDER,CD_I293222,29/12/1993,2013,178,0,Kenilworth (SA)/West Adelaide (SANFL),2013,rookieElevation,86,27/04/2026
Alex,Neal-Bullen,893,Adelaide,2026,28,MEDIUM_FORWARD,CD_I296420,9/01/1996,2014,182,0,Plympton (SA)/Glenelg (SANFL)/Melbourne,2015,nationalDraft,40,27/04/2026
Reilly,O'Brien,763,Adelaide,2026,43,RUCK,CD_I297523,20/08/1995,2016,201,0,Moonee Valley (Vic)/Calder U18,2016,rookieElevation,NA,27/04/2026
Callum,Ah Chee,850,Adelaide,2026,4,MIDFIELDER_FORWARD,CD_I298437,9/10/1997,2015,182,0,Kelmscott (WA)/South Fremantle (WAFL)/Gold Coast/Brisbane,2016,nationalDraft,8,27/04/2026
Wayne,Milera,830,Adelaide,2026,30,MEDIUM_DEFENDER,CD_I990882,14/09/1997,2015,185,0,Ingle Farm (SA)/Central District (SANFL),2016,nationalDraft,11,27/04/2026
Jordan,Dawson,1080,Adelaide,2026,12,MIDFIELDER,CD_I992242,9/04/1997,2015,190,0,Robe (SA)/Sturt (SANFL)/Sydney,2017,nationalDraft,56,27/04/2026
Ben,Keays,886,Adelaide,2026,2,MEDIUM_FORWARD,CD_I993946,23/02/1997,2019,185,0,Morningside (Qld)/Redland (NEAFL)/Brisbane,2016,rookieElevation,7,27/04/2026
Darcy,Fogarty,1555,Adelaide,2026,32,KEY_FORWARD,CD_I999331,25/09/1999,2017,192,0,Lucindale (SA)/Rostrevor College (SA)/Glenelg (SANFL),2018,nationalDraft,12,27/04/2026
Tom,Doedee,813,Brisbane Lions,2026,12,MEDIUM_DEFENDER,CD_I1000932,1/03/1997,2015,190,0,"St Joseph's, Geel (Vic)/St Joseph's College, Geel (Vic)/Geel U18/Adelaide Crows",2018,nationalDraft,17,27/04/2026
Hugh,McCluggage,1301,Brisbane Lions,2026,6,MIDFIELDER,CD_I1000978,3/03/1998,2016,187,0,South Warrnambool (Vic)/North Ballarat U18,2017,nationalDraft,3,27/04/2026
Cam,Rayner,1665,Brisbane Lions,2026,16,MEDIUM_FORWARD,CD_I1002235,21/10/1999,2017,187,0,Hillside (Vic)/PEGS (Vic)/Western U18,2018,nationalDraft,1,27/04/2026
Zac,Bailey,1577,Brisbane Lions,2026,33,MIDFIELDER_FORWARD,CD_I1002312,23/09/1999,2017,181,0,Southern Dists (NT)/Prince Alfred College (SA)/Norwood (SANFL),2018,nationalDraft,15,27/04/2026
Jack,Payne,1661,Brisbane Lions,2026,40,KEY_DEFENDER,CD_I1002347,15/10/1999,2017,196,0,Noosa (Qld)/Brisbane (NEAFL),2020,nationalDraft,54,27/04/2026
Darragh,Joyce,1368,Brisbane Lions,2026,41,KEY_DEFENDER,CD_I1003520,23/04/1997,2024,195,0,County Kilkenny (Ireland)/St Kilda,2018,rookieElevation,15,27/04/2026
Oscar,Allen,1718,Brisbane Lions,2026,4,KEY_FORWARD,CD_I1004385,19/03/1999,2017,196,0,Whitford (WA)/West Perth (WAFL)/West Coast,2018,nationalDraft,21,27/04/2026
Noah,Answerth,1774,Brisbane Lions,2026,43,MEDIUM_DEFENDER,CD_I1005053,6/08/1999,2018,182,0,Caulfield (Vic)/Oakleigh U18,2019,nationalDraft,55,27/04/2026
Sam,Draper,1296,Brisbane Lions,2026,2,RUCK,CD_I1005577,28/09/1998,2025,205,0,Reynella (SA)/South Adelaide (SANFL)/Essendon,2020,other,NA,27/04/2026
Keidean,Coleman,2203,Brisbane Lions,2026,18,MEDIUM_DEFENDER,CD_I1006059,31/03/2000,2019,182,0,Morningside (Qld)/Brisbane (NEAFL),2020,nationalDraft,37,27/04/2026
Luke,Beecken,10205,Brisbane Lions,2026,17,MIDFIELDER,CD_I1008805,18/04/2001,2024,185,0,SMOSH West Lakes JFC/Woodville-West Torrens (SANFL),2025,other,17,27/04/2026
Bruce,Reville,2218,Brisbane Lions,2026,38,MIDFIELDER,CD_I1009317,22/02/2001,2023,185,0,Western Magpies/Maryborough/Brisbane Lions (VFL),2024,other,NA,27/04/2026
Kai,Lohmann,5146,Brisbane Lions,2026,1,MEDIUM_FORWARD,CD_I1014026,6/05/2003,2021,185,0,"Lake Wendoree (Vic)/St Patrick's College, Ballarat/GWV U18",2022,nationalDraft,20,27/04/2026
Henry,Smith,4053,Brisbane Lions,2026,25,KEY_FORWARD,CD_I1016189,24/09/2002,2020,202,0,Blackwood (SA)/Woodville-West Torrens (SANFL),2024,nationalDraft,48,27/04/2026
Darcy,Wilmot,2786,Brisbane Lions,2026,44,MEDIUM_DEFENDER,CD_I1017067,31/12/2003,2021,183,0,Montmorency (Vic)/Hazel Glen College (Vic)/Northern U18,2022,nationalDraft,16,27/04/2026
James,Tunstill,5673,Brisbane Lions,2026,29,MEDIUM_FORWARD,CD_I1021108,18/07/2003,2021,187,0,Busselton (WA)/Bunbury Grammar (WA)/East Perth (WAFL),2022,nationalDraft,41,27/04/2026
Will,Ashcroft,5518,Brisbane Lions,2026,8,MIDFIELDER,CD_I1023517,6/05/2004,2022,182,0,Southport (Qld)/Old Brighton (Vic)/Sandringham U18/Bris (VFL),2023,fatherSon,2,27/04/2026
Jaspa,Fletcher,5372,Brisbane Lions,2026,3,MEDIUM_DEFENDER,CD_I1023708,24/02/2004,2022,184,0,Coorparoo (Qld) /Sherwood (QAFL),2023,fatherSon,12,27/04/2026
Reece,Torrent,7482,Brisbane Lions,2026,36,MIDFIELDER,CD_I1024187,3/08/2005,2023,184,0,Halls Head JCF (WA)/Peel Thunder (WAFL),NA,nationalDraft,64,27/04/2026
Luke,Lloyd,6741,Brisbane Lions,2026,19,KEY_DEFENDER,CD_I1027985,8/08/2005,2023,193,0,St Paul's McKinnon JFC (Vic)/Sandringham U18,NA,nationalDraft,42,27/04/2026
Logan,Morris,6773,Brisbane Lions,2026,13,KEY_FORWARD,CD_I1028019,10/05/2005,2023,191,0,Werribee Districts (Vic)/Western U18,2024,nationalDraft,31,27/04/2026
Shadeau,Brain,6783,Brisbane Lions,2026,34,MEDIUM_DEFENDER,CD_I1028105,13/02/2004,2022,183,0,Finley (NSW)/Noosa (Qld),2024,other,NA,27/04/2026
Sam,Marshall,9042,Brisbane Lions,2026,20,MIDFIELDER,CD_I1028520,19/01/2006,2024,185,0,Kawana Park JAFC/Sandringham U18/Brisbane Lions Academy,2025,nationalDraft,25,27/04/2026
Levi,Ashcroft,8422,Brisbane Lions,2026,10,MIDFIELDER,CD_I1028560,18/12/2006,2024,181,0,St Kilda City Junior Football Club/Sandringham U18,2025,fatherSon,5,27/04/2026
Daniel,Annable,9055,Brisbane Lions,2026,14,MIDFIELDER,CD_I1029326,5/04/2007,2025,184,0,Redland-Victoria Point (Qld)/Brisbane Lions Academy U18,2026,nationalDraft,6,27/04/2026
Will,McLachlan,8472,Brisbane Lions,2026,28,MEDIUM_FORWARD,CD_I1029405,13/04/2005,2024,185,0,Geelong U18,2025,other,6,27/04/2026
Zane,Zakostelsky,11333,Brisbane Lions,2026,21,KEY_DEFENDER,CD_I1032650,14/12/2005,2023,196,0,North Beach (WA)/Claremont (WAFL),2026,nationalDraft,51,27/04/2026
Ty,Gallop,12141,Brisbane Lions,2026,22,KEY_DEFENDER,CD_I1034411,9/02/2006,2024,194,0,Kawana Park JAFC/Maroochydore AFC/Brisbane Lions Academy,2025,nationalDraft,42,27/04/2026
Cody,Curtin,12978,Brisbane Lions,2026,37,KEY_FORWARD,CD_I1036780,18/05/2007,2025,200,0,West Coast JFC/Claremont (WAFL),NA,nationalDraft,43,27/04/2026
Koby,Evans,13425,Brisbane Lions,2026,24,MIDFIELDER,CD_I1037376,8/09/2007,2025,187,0,Kenwick (WA)/Perth (WAFL),NA,nationalDraft,38,27/04/2026
Tai,Hayes,13986,Brisbane Lions,2026,42,MIDFIELDER,CD_I1040584,18/11/2004,2025,183,0,Burleigh (Qld)/Southport (VFL),NA,nationalDraft,44,27/04/2026
Ben,Murphy,15850,Brisbane Lions,2026,39,MEDIUM_DEFENDER,CD_I1044596,1/02/2007,2025,191,0,Kerry GAA (Ireland),NA,other,NA,27/04/2026
Dayne,Zorko,8,Brisbane Lions,2026,15,MEDIUM_DEFENDER,CD_I261224,9/02/1989,2011,175,0,Surfers Paradise (Qld)/Broadbeach (Qld),2012,other,NA,27/04/2026
Ryan,Lester,124,Brisbane Lions,2026,35,KEY_DEFENDER,CD_I291548,26/08/1992,2022,190,0,Mulgrave (Vic)/Oakleigh U18,2011,rookieElevation,15,27/04/2026
Lachie,Neale,355,Brisbane Lions,2026,9,MIDFIELDER,CD_I293535,24/05/1993,2011,177,0,Kybybolite (SA)/St Peter's Coll (SA)/Glenelg (SANFL)/Fremantle,2012,nationalDraft,58,27/04/2026
Lincoln,McCarthy,294,Brisbane Lions,2026,11,MEDIUM_FORWARD,CD_I293581,22/10/1993,2025,176,0,Bordertown (SA)/Glenelg (SANFL)/Geelong,2012,rookieElevation,14,27/04/2026
Darcy,Gardiner,132,Brisbane Lions,2026,27,KEY_DEFENDER,CD_I296269,22/09/1995,2013,192,0,Queenscliff (Vic)/St Joseph's College (Vic)/Geelong U18,2014,nationalDraft,22,27/04/2026
Darcy,Fort,1940,Brisbane Lions,2026,32,RUCK,CD_I298211,6/08/1993,2018,204,0,Sth Barwon (Vic)/Geel U18/Werribee (VFL)/Foots (VFL)/Cent Dist (SANFL)/Geel,2019,nationalDraft,65,27/04/2026
Charlie,Cameron,152,Brisbane Lions,2026,23,MEDIUM_FORWARD,CD_I990609,5/07/1994,2014,180,0,Newman Saints (WA)/Swan Districts (WAFL)/Adelaide,2014,rookieElevation,NA,27/04/2026
Josh,Dunkley,1083,Brisbane Lions,2026,5,MIDFIELDER,CD_I993834,9/01/1997,2015,191,0,Sale (Vic)/Gippsland U18/Western Bulldogs,2016,nationalDraft,25,27/04/2026
Eric,Hipwood,864,Brisbane Lions,2026,30,KEY_FORWARD,CD_I993953,13/09/1997,2015,204,0,Caloundra (Qld)/Aspley (NEAFL),2016,nationalDraft,14,27/04/2026
Harris,Andrews,822,Brisbane Lions,2026,31,KEY_DEFENDER,CD_I996059,11/12/1996,2014,200,0,Aspley (NEAFL),2015,nationalDraft,61,27/04/2026
Conor,McKenna,982,Brisbane Lions,2026,26,MEDIUM_FORWARD,CD_I997846,28/03/1996,2016,184,0,Eglish/Tyrone (Ireland)/Essendon,2015,rookieElevation,NA,27/04/2026
Jarrod,Berry,1343,Brisbane Lions,2026,7,MIDFIELDER,CD_I998133,5/02/1998,2016,193,0,Horsham Saints (Vic)/Ballarat Clarendon College (Vic)/North Ballarat U18,2017,nationalDraft,17,27/04/2026
Harry,McKay,692,Carlton,2026,10,KEY_FORWARD,CD_I1000953,24/12/1997,2015,200,0,Warragul (Vic)/Gippsland U18,2017,nationalDraft,10,27/04/2026
Lachie,Fogarty,1732,Carlton,2026,8,MEDIUM_FORWARD,CD_I1002228,1/04/1999,2017,180,0,Spotswood (Vic)/St Kevin's College (Vic)/Western U18/Geelong,2018,nationalDraft,22,27/04/2026
Adam,Cerra,1562,Carlton,2026,5,MIDFIELDER,CD_I1002239,7/10/1999,2017,188,0,Norwood (Vic)/Wesley College (Vic)/Eastern U18/Fremantle,2018,nationalDraft,5,27/04/2026
Jordan,Boyd,4803,Carlton,2026,37,MEDIUM_DEFENDER,CD_I1002795,22/09/1998,2021,182,0,Spotswood (Vic)/Footscray (VFL),2022,other,20,27/04/2026
Sam,Walsh,1896,Carlton,2026,18,MIDFIELDER,CD_I1006094,2/07/2000,2018,184,0,"St Joseph's, Geel (Vic)/St Joseph's College, Geel (Vic)/Geel U18",2019,nationalDraft,1,27/04/2026
Matthew,Cottrell,1895,Carlton,2026,46,MIDFIELDER_FORWARD,CD_I1008154,29/02/2000,2021,184,0,Pearcedale (Vic)/Dandenong U18,2020,rookieElevation,23,27/04/2026
Brodie,Kemp,2209,Carlton,2026,17,KEY_FORWARD,CD_I1009241,1/05/2001,2019,192,0,Echuca (Vic)/Geelong Grammar (Vic)/Bendigo U18,2021,nationalDraft,17,27/04/2026
Elijah,Hollands,2975,Carlton,2026,20,MIDFIELDER_FORWARD,CD_I1012862,25/04/2002,2020,189,0,Wodonga (Vic)/Caulfield Grammar (Vic)/Murray U18/Gold Coast Suns,2022,nationalDraft,7,27/04/2026
Wade,Derksen,2886,Carlton,2026,47,KEY_DEFENDER,CD_I1016140,18/06/2001,2022,195,0,Queanbeyan (ACT)/Nightcliff (NT)/Sunbury (Vic)/Peel Thunder (WAFL)/GWS Giants,2026,other,5,27/04/2026
Campbell,Chesser,3356,Carlton,2026,31,MIDFIELDER,CD_I1017057,27/04/2003,2021,186,0,Lavington (NSW)/Melbourne Grammar (Vic)/Sandringham U18/West Coast,2023,nationalDraft,14,27/04/2026
Francis,Evans,2582,Carlton,2026,44,MEDIUM_FORWARD,CD_I1017255,23/08/2001,2019,182,0,Brunswick North O.B. (Vic)/Brunswick Secondary College (Vic)/Calder U18/Geelong/Port Adelaide,2021,nationalDraft,41,27/04/2026
Jesse,Motlop,5674,Carlton,2026,3,MEDIUM_FORWARD,CD_I1017700,23/11/2003,2021,180,0,Wanderers (NT)/S Coogee (WA)/Aquinas Coll (WA)/S Fremantle (WAFL),2022,nationalDraft,27,27/04/2026
Ashton,Moir,9627,Carlton,2026,43,MEDIUM_FORWARD,CD_I1020097,15/04/2005,2023,188,0,Plympton Junior Football Club (SA)/Glenelg (SANFL),2024,nationalDraft,29,27/04/2026
Flynn,Young,5141,Carlton,2026,45,MEDIUM_FORWARD,CD_I1020877,3/02/2002,2025,181,0,Werribee (VFL)/Carlton (VFL),2025,other,4,27/04/2026
Lachlan,Cowan,5277,Carlton,2026,2,MEDIUM_DEFENDER,CD_I1021353,1/12/2004,2022,188,0,Devonport (Tas)/Tasmania U18,2023,nationalDraft,30,27/04/2026
Lucas,Camporeale,9674,Carlton,2026,21,MIDFIELDER,CD_I1022452,21/07/2006,2024,184,0,Brighton Bombers/Glenelg (SANFL),2025,fatherSon,54,27/04/2026
Liam,Reidy,4806,Carlton,2026,25,RUCK,CD_I1023346,14/06/2000,2025,204,0,Beaumaris (Vic)/East Brighton (Vic)/Brighton SC (Vic)/Frankston (VFL)/Fremantle,2024,other,NA,27/04/2026
Hudson,O'Keeffe,5529,Carlton,2026,40,RUCK,CD_I1023489,16/12/2004,2022,202,0,Camberwell (Vic)/ Camberwell High (Vic)/Oakleigh U18,2025,preseason,NA,27/04/2026
Oliver,Hollands,5569,Carlton,2026,4,MEDIUM_DEFENDER,CD_I1023495,16/01/2004,2022,184,0,Wodonga (Vic)/Geelong Grammar (Vic)/Murray U18,2023,nationalDraft,11,27/04/2026
Ben,Camporeale,9932,Carlton,2026,16,MIDFIELDER,CD_I1027282,21/07/2006,2024,186,0,Brighton Bombers/Glenelg (SANFL),NA,fatherSon,43,27/04/2026
Billy,Wilson,6442,Carlton,2026,15,MEDIUM_DEFENDER,CD_I1027678,16/06/2005,2023,183,0,Dromana Football Netball Club (Vic)/Dandenong U18,2025,nationalDraft,34,27/04/2026
Matthew,Carroll,6702,Carlton,2026,32,MIDFIELDER,CD_I1027964,28/11/2005,2024,190,0,East Malvern (Vic)/Sandringham U18,2025,preseason,NA,27/04/2026
Harry,Charleson,9199,Carlton,2026,28,MEDIUM_DEFENDER,CD_I1028496,26/06/2006,2024,182,0,East Point FNC/GWV Rebels U18,NA,rookieElevation,9,27/04/2026
Jagga,Smith,9351,Carlton,2026,7,MIDFIELDER,CD_I1028515,28/01/2006,2024,182,0,Richmond JFC)/Oakleigh U18,2026,nationalDraft,3,27/04/2026
Harry,O'Farrell,9083,Carlton,2026,22,KEY_DEFENDER,CD_I1028526,3/05/2006,2024,197,0,Maribyrnong Park FC/Calder U18,2025,nationalDraft,40,27/04/2026
Cooper,Lord,9437,Carlton,2026,36,MIDFIELDER,CD_I1032108,20/03/2005,2024,184,0,North Melbourne (VFL)/Sandringham U18,2024,other,9,27/04/2026
Jack,Ison,12431,Carlton,2026,30,MIDFIELDER,CD_I1033066,26/03/2007,2025,190,0,Parkside JFC (Vic)/Oakleigh U18,NA,nationalDraft,47,27/04/2026
Harry,Dean,12390,Carlton,2026,35,MEDIUM_DEFENDER,CD_I1033084,13/11/2007,2025,193,0,Lavington JFC (NSW)/Murray U18,2026,fatherSon,3,27/04/2026
Rob,Monahan,12079,Carlton,2026,34,MEDIUM_DEFENDER,CD_I1035129,29/06/2004,2023,189,0,Ireland,NA,other,NA,27/04/2026
Talor,Byrne,12384,Carlton,2026,39,MEDIUM_FORWARD,CD_I1036426,14/11/2007,2025,174,0,Koroit (Vic)/GWV Rebels U18,2026,nationalDraft,45,27/04/2026
Matt,Duffy,13966,Carlton,2026,41,KEY_DEFENDER,CD_I1039720,2/01/2004,2024,194,0,Ireland,NA,other,NA,27/04/2026
George,Hewett,690,Carlton,2026,29,MIDFIELDER,CD_I294036,29/12/1995,2013,187,0,Broughton-Mundoora (SA)/North Adelaide (SANFL)/Sydney,2016,nationalDraft,32,27/04/2026
Zac,Williams,483,Carlton,2026,6,MEDIUM_DEFENDER,CD_I294685,20/09/1994,2013,186,0,Albury (NSW)/NSW-ACT U18/Murray U18/GWS,2013,rookieElevation,95,27/04/2026
Nick,Haynes,577,Carlton,2026,26,MEDIUM_DEFENDER,CD_I295265,18/05/1992,2011,192,0,Frankston Bombers (Vic)/Dandenong U18,2012,nationalDraft,7,27/04/2026
Adam,Saad,913,Carlton,2026,42,MEDIUM_DEFENDER,CD_I295461,23/07/1994,2015,178,0,West Coburg (Vic)/Calder U18/Coburg (VFL)/GCS/Essendon,2015,rookieElevation,NA,27/04/2026
Blake,Acres,683,Carlton,2026,13,MIDFIELDER,CD_I296294,7/10/1995,2013,193,0,Edgewater-Woodvale (WA)/West Perth (WAFL)/St Kilda/Fremantle,2014,nationalDraft,19,27/04/2026
Mitch,McGovern,738,Carlton,2026,11,KEY_FORWARD,CD_I297255,11/10/1994,2014,190,0,North Albany (WA)/Claremont (WAFL)/Adelaide,2016,nationalDraft,43,27/04/2026
Nic,Newman,950,Carlton,2026,24,MEDIUM_DEFENDER,CD_I297907,15/01/1993,2016,186,0,Mornington (Vic)/Frankston (VFL)/Sydney,2017,rookieElevation,NA,27/04/2026
Marc,Pittonet,892,Carlton,2026,27,RUCK,CD_I298290,3/06/1996,2014,202,0,Kew Comets (Vic)/Xavier College (Vic)/Oakleigh U18/Hawthorn,2016,nationalDraft,50,27/04/2026
Patrick,Cripps,270,Carlton,2026,9,MIDFIELDER,CD_I990704,18/03/1995,2013,195,0,Northampton (WA)/East Fremantle (WAFL),2014,nationalDraft,13,27/04/2026
Jacob,Weitering,774,Carlton,2026,23,KEY_DEFENDER,CD_I993832,23/11/1997,2015,195,0,Mt Martha (Vic)/Peninsula Grammar (Vic)/Dandenong U18,2016,nationalDraft,1,27/04/2026
Will,Hayward,1413,Carlton,2026,19,MEDIUM_FORWARD,CD_I997100,26/10/1998,2016,186,0,Walkerville (SA)/St Peter's College (SA)/North Adelaide (SANFL)/Sydney Swans,2017,nationalDraft,21,27/04/2026
Lewis,Young,1335,Carlton,2026,33,KEY_DEFENDER,CD_I997316,20/12/1998,2016,202,0,Mitcham (SA)/Sturt (SANFL)/Western Bulldogs,2017,nationalDraft,49,27/04/2026
Oliver,Florent,1363,Carlton,2026,14,MEDIUM_DEFENDER,CD_I998103,22/07/1998,2016,184,0,Beaumaris (Vic)/Mentone Grammar (Vic)/Sandringham U18/Sydney Swans,2017,nationalDraft,11,27/04/2026
Ben,Ainsworth,1402,Carlton,2026,12,MEDIUM_FORWARD,CD_I998130,10/02/1998,2016,178,0,Morwell (Vic)/Gippsland U18/Gold Coast,2017,nationalDraft,4,27/04/2026
Lachie,Schultz,1803,Collingwood,2026,8,MEDIUM_FORWARD,CD_I1000860,30/11/1997,2018,178,0,Moama (NSW)/Bendigo U18/Williamstown (VFL)/Fremantle,2019,nationalDraft,57,27/04/2026
Patrick,Lipinski,1353,Collingwood,2026,1,MIDFIELDER_FORWARD,CD_I1003130,17/07/1998,2016,190,0,Eltham (Vic)/Northern U18/Western Bulldogs,2017,nationalDraft,28,27/04/2026
Beau,McCreery,4056,Collingwood,2026,31,MEDIUM_FORWARD,CD_I1004757,19/04/2001,2020,186,0,Cove (SA)/South Adelaide (SANFL),2021,nationalDraft,44,27/04/2026
Josh,Daicos,1321,Collingwood,2026,7,MEDIUM_DEFENDER,CD_I1005054,26/11/1998,2016,178,0,Greythorn (Vic)/Bulleen-Templestowe (Vic)/Oakleigh U18,2017,fatherSon,57,27/04/2026
