Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
1583	4	Gresham, Jade	1997-08-24	179cm	79kg	136 (64-1-71)	136	2016-2023	18y 216d	26y 16d
890	25	Drinan, Keith	1924-11-13	182cm	83kg	135 (35-2-98)	 	1946-1954, 1956-1957	21y 291d	32y 277d
1477	13	Voss, Brett	1978-02-22	181cm	83kg	135 (65-1-69)	56	2001-2007	23y 37d	29y 183d
559	3	Phillips, Fred	1905-05-27	183cm	74kg	134 (53-0-81)	107	1924-1932	18y 363d	27y 99d
882	4	Mulhall, Ken	1927-09-22	185cm	89kg	134 (31-3-100)	81	1946-1957	18y 266d	29y 315d
1149	23	Theodore, Stephen	1950-12-18	178cm	78kg	134 (73-0-61)	111	1969-1976	18y 128d	25y 205d
1611	8	Hill, Bradley	1993-07-09	179cm	79kg	134 (66-0-68)	33	2020-2026	26y 257d	32y 283d
1019	7	Walsh, Brian	1934-10-25	178cm	73kg	131 (62-1-68)	 	1956-1964	21y 172d	29y 302d
83	 	Smith, Jimmy	1877-01-04	178cm	76kg	130 (19-1-110)	22	1899-1906, 1908-1909	22y 129d	32y 145d
517	13	Carr, Barney	1897-08-27	175cm	75kg	130 (51-2-77)	5	1921-1929	23y 253d	31y 280d
731	19	Garvin, Reg	1912-09-19	182cm	87kg	130 (53-3-74)	33	1937-1946	24y 217d	33y 318d
1523	13	Schneider, Adam	1984-05-12	175cm	79kg	130 (72-2-56)	160	2008-2015	23y 315d	31y 110d
1529	22	Ray, Farren	1986-03-23	187cm	84kg	130 (68-4-58)	26	2009-2015	23y 5d	29y 166d
528	7	Gambetta, Cyril	1899-08-01	180cm	80kg	129 (61-1-67)	75	1922-1931	22y 278d	31y 295d
1096	5	Stewart, Ian	1943-07-14	180cm	78kg	127 (85-0-42)	25	1963-1970	19y 280d	27y 67d
1128	20	Payze, Travis	1946-07-02	185cm	89kg	127 (75-0-52)	73	1966-1974	20y 70d	28y 60d
174	6	Cumberland, Vic	1877-07-04	182cm	82kg	126 (54-2-70)	72	1903-1904, 1907-1908, 1912-1915, 1920	25y 302d	43y 48d
1148	5	Lawrence, Barry	1946-02-13	183cm	87kg	126 (71-0-55)	80	1969-1976	23y 51d	30y 106d
1508	33	Gwilt, James	1986-08-11	188cm	96kg	126 (66-3-57)	25	2005-2014	19y 16d	28y 20d
1389	31	Shanahan, Jamie	1967-12-06	194cm	99kg	125 (64-1-60)	 	1992-1997	24y 121d	29y 295d
1161	42	Judson, Wayne	1952-07-11	182cm	81kg	124 (63-0-61)	 	1971-1977	18y 301d	25y 19d
440	18	James, Jack	1892-10-31	165cm	61kg	123 (43-2-78)	115	1915, 1918-1925	22y 175d	32y 281d
1099	25	Griffiths, Daryl	1945-11-06	183cm	83kg	123 (78-0-45)	40	1963-1970	17y 214d	24y 317d
1591	26	Battle, Josh	1998-09-01	193cm	92kg	123 (60-0-63)	30	2017-2024	18y 316d	25y 359d
233	2	McNamara, Dave	1887-01-22	193cm	92kg	122 (56-2-64)	187	1905-1909, 1914-1915, 1918-1919, 1921-1923	18y 195d	36y 236d
1180	29	Greene, Russell	1957-05-30	185cm	78kg	120 (36-4-80)	52	1974-1980	16y 311d	22y 353d
1085	4	Baldock, Darrel	1938-09-29	179cm	84kg	119 (80-1-38)	237	1962-1968	23y 206d	29y 344d
1421	19	Sziller, Steven	1972-12-15	176cm	81kg	118 (53-1-64)	38	1995-2000	22y 108d	27y 234d
697	20	Lloyd, Stan	1911-11-06	183cm	79kg	117 (60-0-57)	 	1934-1942	22y 180d	30y 198d
776	9	Wilkie, Bob	1920-07-03	165cm	66kg	117 (20-1-96)	13	1940-1942, 1945-1951	19y 334d	31y 60d
1136	26	Manzie, John	1947-12-08	179cm	78kg	117 (67-0-50)	51	1967-1968, 1970-1975	19y 219d	27y 258d
1330	37	Rice, Dean	1968-03-17	180cm	92kg	116 (45-1-70)	43	1987-1991, 1993	19y 11d	25y 116d
1568	7	Dunstan, Luke	1995-01-29	185cm	84kg	116 (43-2-71)	46	2014-2021	19y 52d	26y 197d
898	14	Phillips, Bruce	1929-05-02	188cm	83kg	115 (26-2-87)	42	1947-1955	18y 22d	26y 110d
1342	34	Daniels, Jayson	1971-02-19	183cm	86kg	115 (46-1-68)	26	1988-1992, 1996-1998	17y 57d	27y 205d
1422	15	Wakelin, Darryl	1974-08-11	192cm	95kg	115 (53-1-61)	8	1995-2000	20y 234d	25y 353d
911	2	McDonald, Jack	1930-01-28	180cm	76kg	113 (23-1-89)	133	1948-1956	18y 80d	26y 203d
1041	27	Guyatt, Jim	1939-09-05	179cm	80kg	113 (53-0-60)	22	1957-1964	17y 234d	24y 317d
1593	11	Clark, Hunter	1999-03-26	187cm	82kg	113 (52-1-60)	14	2018-2026	18y 363d	27y 23d
1362	41	Pekin, Tim	1965-01-22	185cm	78kg	112 (56-2-54)	37	1990-1995	25y 69d	30y 209d
846	50	Nisbet, Des	1921-10-29	180cm	79kg	110 (26-2-82)	6	1944, 1946-1952	22y 260d	30y 250d
757	21	Walker, Ken	1919-10-17	183cm	83kg	109 (30-3-76)	81	1938-1945	18y 239d	25y 319d
1076	26	Rowland, Ian	1941-03-04	173cm	75kg	109 (67-0-42)	97	1960-1966	19y 43d	25y 197d
1324	15	Coghlan, Frank	1962-10-31	183cm	84kg	109 (42-1-66)	64	1986-1992	23y 205d	29y 262d
1569	5	Savage, Shane	1991-01-05	187cm	82kg	109 (37-2-70)	26	2014-2020	23y 76d	29y 278d
1610	16	Butler, Dan	1996-06-03	182cm	80kg	109 (53-0-56)	121	2020-2026	23y 293d	29y 319d
200	 	Scott, Wally	1884-06-28	168cm	63kg	108 (27-0-81)	4	1904-1911	19y 363d	27y 24d
917	7	Squire, Alan	1927-02-09	188cm	81kg	108 (27-2-79)	29	1948-1954	21y 96d	27y 158d
1170	27	Young, George	1949-02-03	185cm	86kg	108 (42-3-63)	284	1973-1978	24y 63d	29y 204d
1429	2	Brown, Tony	1977-05-28	175cm	79kg	108 (52-0-56)	62	1995-2000	17y 343d	23y 62d
1619	22	Higgins, Jack	1999-03-19	177cm	78kg	108 (51-0-57)	186	2021-2026	22y 2d	27y 30d
1039	24	Oswald, Lance	1937-02-14	179cm	80kg	107 (57-0-50)	104	1957-1963	20y 65d	26y 212d
1010	20	Annand, Bud	1933-06-18	189cm	91kg	106 (51-1-54)	11	1956-1962	22y 301d	29y 68d
1078	23	Roberts, Kevin	1939-04-11	179cm	76kg	106 (69-1-36)	110	1960-1963, 1965-1969	21y 26d	30y 29d
185	29	Barwick, Vic	1879-06-17	177cm	81kg	105 (38-0-67)	66	1903-1909, 1913	23y 354d	33y 362d
1178	35	Callery, Paul	1950-04-18	165cm	68kg	105 (37-2-66)	98	1974-1980	23y 353d	29y 353d
1487	3	Clarke, Xavier	1983-09-28	182cm	78kg	105 (56-2-47)	49	2002-2008	18y 198d	24y 345d
635	9	Comte, Harry	1909-03-10	175cm	71kg	104 (42-0-62)	55	1930-1937	21y 54d	28y 80d
710	11	Curyer, Clarrie	1912-12-11	177cm	81kg	104 (57-0-47)	58	1935-1941	22y 137d	28y 192d
838	27	Bennett, Peter	1926-07-11	183cm	78kg	103 (24-3-76)	258	1944, 1947-1951, 1953-1954	17y 321d	27y 364d
1206	8	Dunne, Jeff	1956-05-14	176cm	76kg	101 (22-2-77)	20	1977-1983	21y 30d	27y 98d
700	12	Rayment, Doug	1910-12-13	165cm	76kg	100 (54-0-46)	35	1934-1940	23y 143d	29y 220d
375	14	Cazaly, Roy	1893-01-13	180cm	80kg	99 (38-1-60)	39	1911-1915, 1918-1920	18y 197d	27y 235d
1489	31	Maguire, Matt	1984-05-30	192cm	101kg	99 (54-1-44)	19	2002-2008	17y 338d	23y 339d
1572	27	Bruce, Josh	1992-06-08	197cm	101kg	99 (41-1-57)	168	2014-2019	21y 315d	27y 77d
1475	2	Hamill, Aaron	1977-08-20	184cm	97kg	98 (45-0-53)	125	2001-2006	23y 223d	29y 19d
1439	20	Young, Matthew	1972-09-17	183cm	84kg	97 (45-1-51)	14	1996-2001	23y 216d	28y 349d
1623	32	Wood, Mason	1993-09-13	192cm	87kg	97 (50-0-47)	77	2021-2026	27y 189d	32y 217d
50	 	Smith, Howard	1878-03-07	166cm	 	95 (10-1-84)	6	1898-1904	20y 68d	26y 138d
1026	15	Young, William	1931-06-06	179cm	73kg	94 (42-1-51)	274	1956-1961	24y 327d	30y 88d
1354	8	Devonport, Craig	1970-01-27	183cm	82kg	94 (44-0-50)	80	1989-1995	19y 92d	25y 218d
1412	12	Wakelin, Shane	1974-08-12	191cm	92kg	94 (41-2-51)	19	1994-2000	19y 240d	25y 241d
1612	20	Howard, Dougal	1996-03-25	199cm	92kg	94 (48-0-46)	1	2020-2026	23y 363d	30y 3d
255	1	Morrissey, George	1883-01-01	174cm	82kg	93 (32-0-61)	64	1907-1910, 1912-1913	24y 116d	30y 269d
489	31	Watson, Colin	1900-10-12	180cm	83kg	93 (34-1-58)	34	1920, 1922-1925, 1933-1935	19y 202d	34y 197d
720	3	Snell, Sam	1911-05-08	185cm	78kg	93 (40-2-51)	21	1936-1940, 1944-1945	25y 15d	34y 116d
1045	19	Guy, Eric	1932-08-18	183cm	91kg	93 (44-0-49)	 	1957-1962	24y 280d	30y 7d
1070	1	Head, Rodger	1939-06-20	175cm	76kg	93 (60-0-33)	3	1959-1967	20y 56d	27y 355d
1419	13	Sierakowski, David	1974-12-29	193cm	101kg	93 (40-1-52)	27	1994-2000	19y 178d	25y 220d
170	 	Cowell, Jim	1885-05-28	 	 	92 (34-0-58)	27	1902-1908	17y 66d	23y 114d
876	10	Rosewarne, Keith	1924-07-18	173cm	67kg	92 (21-2-69)	151	1946-1951	21y 278d	27y 45d
1556	17	Roberton, Dylan	1991-06-21	194cm	94kg	92 (35-0-57)	15	2013-2018, 2020	21y 282d	28y 275d
1631	7	Wanganeen-Milera, Nasiah	2003-02-22	187cm	71kg	92 (43-0-49)	29	2022-2026	19y 24d	23y 55d
25	 	Hogan, Joe	1875-11-27	179cm	80kg	91 (14-1-76)	11	1897-1900, 1902-1906	21y 178d	30y 201d
164	3	Balme, Gerry	1885-04-27	173cm	 	91 (25-1-65)	2	1902-1906, 1915	17y 69d	30y 116d
1252	29	Odgers, Gary	1959-12-15	178cm	75kg	91 (16-0-75)	28	1981-1987	21y 145d	27y 110d
1527	5	McEvoy, Ben	1989-07-11	200cm	102kg	91 (51-2-38)	27	2008-2013	18y 345d	24y 51d
402	7	Schmidt, Billy	1887-12-29	170cm	70kg	90 (41-1-48)	77	1912-1914, 1918-1920	24y 120d	32y 250d
638	29	Hindson, Clarrie	1907-10-06	173cm	73kg	90 (37-0-53)	 	1930-1936	22y 209d	28y 251d
732	7	Kelly, Jack	1916-07-15	174cm	69kg	89 (37-1-51)	33	1937-1942, 1944	20y 283d	28y 21d
919	14	Coffey, John	1929-03-09	182cm	79kg	89 (32-1-56)	52	1948-1952, 1957-1959	19y 116d	30y 98d
1507	32	McQualter, Andrew	1986-06-09	179cm	74kg	89 (58-2-29)	37	2005-2011	18y 339d	24y 340d
1574	44	Weller, Maverick	1992-02-13	182cm	87kg	89 (31-2-56)	55	2014-2018	22y 79d	26y 165d
1043	11	Stephenson, Bill	1937-02-14	191cm	86kg	88 (42-0-46)	139	1957-1963	20y 79d	26y 212d
1440	25	Hall, Barry	1977-02-08	194cm	104kg	88 (34-1-53)	144	1996-2001	19y 108d	24y 205d
1129	1	Bonney, John	1946-05-21	177cm	72kg	87 (53-1-33)	79	1967-1969, 1971, 1973, 1976	20y 329d	30y 43d
1576	13	Lonie, Jack	1996-08-13	175cm	70kg	87 (35-0-52)	73	2015-2021	18y 235d	24y 303d
763	15	Vontom, Clarrie	1914-06-10	171cm	71kg	86 (29-1-56)	78	1939-1945	24y 316d	31y 83d
191	 	Feehan, Dan	1880-02-07	177cm	 	85 (26-0-59)	9	1904-1910	24y 90d	30y 96d
965	12	Davies, Harold	1932-11-18	179cm	75kg	85 (25-2-58)	20	1953-1959	20y 151d	26y 270d
1347	18	Bowey, Brett	1969-05-31	168cm	72kg	85 (37-0-48)	78	1988-1994	19y 67d	25y 95d
1502	16	Clarke, Raphael	1985-09-24	188cm	82kg	85 (54-1-30)	9	2004-2012	18y 303d	26y 281d
351	18	Hattam, Harrie	1890-07-07	178cm	77kg	84 (35-1-48)	2	1910-1915	20y 51d	25y 31d
610	28	Neill, Harry	1907-02-11	185cm	86kg	84 (39-0-45)	58	1927-1933	20y 127d	26y 203d
13	 	McNamara, Tom	1874-06-03	 	 	83 (7-1-75)	1	1897-1899, 1901-1904	22y 339d	30y 50d
217	 	Stewart, Jim	1884-04-16	170cm	69kg	83 (28-0-55)	77	1905-1910	21y 20d	26y 126d
1614	12	King, Max	2000-07-07	202cm	90kg	83 (39-0-44)	159	2020-2024	19y 259d	23y 359d
683	14	Fisher, Ron	1911-08-07	188cm	85kg	82 (39-0-43)	71	1933-1938	21y 286d	27y 20d
934	29	Mollar, Max	1929-08-29	178cm	70kg	82 (13-1-68)	5	1950-1955	20y 299d	25y 356d
1633	2	Windhager, Marcus	2003-05-16	185cm	86kg	81 (35-0-46)	10	2022-2026	18y 329d	22y 337d
12	 	Matthews, Bill	1876-05-18	 	 	80 (2-0-78)	7	1897-1902	20y 355d	26y 97d
780	28	McIntyre, Ern	1921-04-19	185cm	89kg	80 (12-3-65)	57	1940-1941, 1943-1948	19y 85d	27y 40d
1259	17	Kiel, Peter	1958-10-02	175cm	73kg	80 (13-0-67)	29	1982-1986	23y 176d	27y 332d
1323	20	Dwyer, Mick	1968-11-16	178cm	81kg	80 (30-1-49)	61	1986-1995	17y 182d	26y 242d
1356	9	Vidovic, Lazar	1965-04-01	200cm	102kg	80 (43-1-36)	13	1989, 1991-1997	24y 105d	32y 152d
1616	13	Byrnes, Ryan	2001-05-03	181cm	80kg	80 (42-0-38)	15	2020-2025	19y 78d	24y 92d
1589	21	Long, Ben	1997-08-21	184cm	79kg	79 (32-1-46)	31	2017-2022	19y 238d	25y
414	6	Collins, Ted	1893-09-22	168cm	67kg	78 (41-2-35)	27	1913-1915, 1918-1921	19y 223d	27y 257d
755	17	Killigrew, Alan	1918-01-27	168cm	71kg	78 (32-2-44)	75	1938-1941, 1943-1945	20y 135d	27y 91d
1630	10	Owens, Mitch	2003-09-24	190cm	85kg	78 (35-0-43)	85	2022-2026	18y 175d	22y 206d
973	35	Minihan, Graham	1934-09-09	170cm	70kg	77 (24-1-52)	32	1953-1959	18y 270d	24y 326d
996	14	Jeans, Allan	1933-09-21	180cm	83kg	77 (27-1-49)	26	1955-1959	21y 214d	25y 342d
1157	17	Galt, Rod	1951-10-09	194cm	92kg	77 (46-0-31)	79	1971-1974	19y 176d	22y 305d
1177	9	Perovic, Val	1953-09-25	192cm	88kg	77 (30-2-45)	12	1973, 1975-1979	19y 278d	25y 278d
1182	39	Mildenhall, Bill	1953-04-10	180cm	76kg	77 (20-3-54)	17	1974-1979, 1981-1982	21y 52d	29y 119d
1217	10	Roberts, Michael	1959-07-27	180cm	76kg	77 (14-2-61)	45	1978-1985	18y 346d	26y 35d
154	 	Baker, Charlie	1880-06-18	175cm	 	76 (18-1-57)	122	1902-1906	21y 319d	26y 82d
1092	21	Read, Jim	1943-12-26	175cm	75kg	76 (51-0-25)	9	1962-1967	18y 214d	23y 243d
1322	26	Taylor, Kain	1967-10-14	180cm	75kg	76 (24-2-50)	20	1986-1994	18y 200d	26y 289d
1628	43	Sharman, Cooper	2000-07-25	193cm	83kg	76 (33-0-43)	87	2021-2026	20y 364d	25y 267d
1048	28	OBrien, Jim	1936-08-02	177cm	71kg	75 (38-0-37)	75	1957-1963	20y 338d	26y 296d
1106	13	Sierakowski, Brian	1945-11-01	188cm	85kg	75 (51-1-23)	2	1964-1968	18y 197d	22y 311d
1573	8	Acres, Blake	1995-10-07	191cm	90kg	75 (29-1-45)	29	2014-2019	18y 208d	23y 321d
729	2	Robertson, Arthur	1916-05-25	183cm	85kg	74 (35-0-39)	3	1936-1942	20y 61d	26y 47d
1021	21	McCarthy, Brian	1936-01-20	179cm	77kg	74 (32-1-41)	13	1956-1961	20y 92d	25y 225d
1613	3	Jones, Zak	1995-03-15	181cm	80kg	74 (36-0-38)	13	2020-2025	25y 7d	30y 162d
8	 	Hall, Ted	1876-02-08	177cm	 	73 (1-0-72)	10	1897-1902	21y 89d	26y 121d
86	 	McCabe, Dick	1877-06-15	175cm	 	73 (5-1-67)	4	1899-1903	21y 339d	25y 363d
908	21	Meehan, Tom	1926-03-31	184cm	78kg	73 (16-1-56)	3	1947-1952	21y 145d	26y 152d
1580	36	McKenzie, Daniel	1996-05-17	185cm	83kg	73 (33-0-40)	11	2015-2019, 2021-2022	18y 351d	26y 25d
535	25	Sanneman, Ed	1902-06-22	185cm	82kg	72 (33-1-38)	25	1922, 1925-1931	19y 346d	28y 328d
1213	18	Thomas, Grant	1958-02-14	186cm	94kg	72 (15-1-56)	21	1978-1983	20y 70d	25y 103d
1268	7	Mace, Robert	1958-08-12	178cm	93kg	72 (15-0-57)	32	1982-1986	23y 269d	27y 334d
1468	40	Schwarze, Troy	1981-12-23	190cm	92kg	71 (32-1-38)	20	2000-2006	18y 101d	24y 190d
1600	33	Paton, Ben	1998-10-19	187cm	79kg	71 (34-0-37)	4	2018-2020, 2022-2024	19y 295d	25y 268d
222	 	Ellin, Percy	1884-06-21	173cm	 	70 (25-0-45)	19	1905-1910	20y 333d	25y 341d
751	6	Fountain, Roy	1915-02-16	188cm	96kg	70 (24-0-46)	44	1938-1943, 1946-1947	23y 94d	32y 120d
966	30	Gleeson, Brian	1934-11-03	188cm	82kg	70 (17-2-51)	47	1953-1957	18y 166d	22y 294d
1065	29	Coady, Bill	1939-04-07	185cm	73kg	70 (39-0-31)	18	1959-1963	20y 88d	24y 139d
576	26	Hepburn, Stan	1904-07-20	175cm	77kg	69 (35-0-34)	14	1925-1930	20y 293d	25y 350d
696	5	Hender, Allan	1908-04-23	175cm	78kg	69 (34-0-35)	41	1934-1938	26y 12d	30y 126d
716	8	Weiss, Alby	1914-07-18	182cm	77kg	69 (34-0-35)	94	1935-1942	20y 339d	27y 330d
1102	15	Cooper, Ian	1946-04-02	188cm	76kg	69 (42-0-27)	31	1964-1969	18y 16d	23y 136d
