Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
154	6	Nicoski, Mark	1983-11-24	188cm	85kg	112 (58-0-54)	61	2004-2011	20y 152d	27y 304d
150	41	Staker, Brent	1984-05-23	196cm	98kg	110 (64-1-45)	84	2003-2009	19y 63d	25y 97d
63	18	Evans, Tony	1969-06-14	175cm	82kg	108 (72-0-36)	78	1991-1998	21y 283d	28y 349d
77	8	Metropolis, Daniel	1972-03-17	188cm	87kg	108 (57-1-50)	46	1992-1993, 1995-2000	20y 19d	28y 135d
202	33	Hill, Josh	1989-01-19	186cm	85kg	107 (67-1-39)	151	2012-2017	23y 73d	28y 212d
243	12	Allen, Oscar	1999-03-19	196cm	92kg	105 (43-0-62)	151	2018-2021, 2023-2025	19y 111d	26y 88d
74	26	Ball, Jason	1972-11-21	201cm	104kg	103 (63-0-40)	114	1992-1999	19y 129d	26y 286d
147	17	Chick, Daniel	1976-02-10	185cm	88kg	103 (67-2-34)	51	2003-2007	27y 61d	31y 216d
153	14	Seaby, Mark	1984-05-01	199cm	101kg	102 (62-0-40)	64	2004-2009	19y 352d	25y 85d
155	38	Jones, Brett	1982-08-06	189cm	93kg	102 (54-0-48)	6	2004-2010	21y 277d	28y 1d
159	5	Stenglein, Tyson	1980-07-16	189cm	88kg	102 (58-0-44)	25	2005-2009	24y 254d	28y 361d
221	30	Nelson, Jackson	1996-03-15	187cm	85kg	102 (60-0-42)	2	2015-2022	19y 20d	26y 158d
34	19	Langdon, Karl	1968-03-28	191cm	90kg	100 (65-2-33)	107	1988-1995	20y 5d	27y 110d
89	16	Symmons, Paul	1973-09-02	189cm	87kg	99 (56-0-43)	36	1994-2000	20y 296d	26y 339d
105	13	Wooden, Josh	1978-11-14	183cm	84kg	96 (45-0-51)	18	1997-2006	18y 135d	27y 173d
169	1	Brown, Mitch	1988-12-17	195cm	93kg	94 (38-0-56)	14	2007, 2009-2016	18y 104d	27y 266d
187	35	McGinnity, Patrick	1989-02-18	183cm	83kg	93 (50-0-43)	29	2009-2016	20y 144d	27y 150d
239	21	Petruccelle, Jack	1999-04-12	185cm	80kg	90 (30-0-60)	71	2018-2025	19y 17d	26y 98d
254	32	Williams, Bailey	2000-04-17	199cm	95kg	90 (16-0-74)	30	2020-2026	20y 132d	26y 2d
114	37	Williams, Andrew	1979-03-01	183cm	83kg	84 (34-1-49)	42	1998-2002	19y 125d	23y 176d
263	19	Hough, Brady	2003-03-05	189cm	71kg	81 (11-0-70)	3	2022-2026	19y 15d	23y 45d
208	12	Wellingham, Sharrod	1988-07-07	185cm	85kg	79 (49-1-29)	18	2013-2017	24y 302d	29y 71d
30	45	Lockyer, Andrew	1965-07-07	190cm	95kg	78 (43-0-35)	35	1987-1992	21y 292d	26y 280d
145	28	Sampi, Ashley	1984-01-21	177cm	83kg	78 (46-2-30)	97	2002-2006	18y 166d	22y 218d
157	29	Hansen, Ashley	1983-03-03	198cm	94kg	78 (50-0-28)	95	2004-2010	21y 93d	27y 44d
175	5	Ebert, Brad	1990-04-02	189cm	90kg	76 (28-0-48)	33	2008-2011	17y 362d	21y 161d
201	29	Lycett, Scott	1992-09-26	203cm	98kg	75 (48-0-27)	45	2011-2018	18y 307d	26y 3d
226	23	Jetta, Lewis	1989-05-04	182cm	80kg	75 (47-0-28)	17	2016-2020	26y 335d	31y 125d
111	36	Read, Phillip	1979-10-20	180cm	83kg	74 (33-2-39)	24	1998-2000, 2003	18y 158d	23y 321d
65	22	Hynes, David	1967-03-31	190cm	91kg	73 (52-1-20)	55	1991-1995	23y 358d	28y 170d
246	35	Rotham, Josh	1998-02-25	193cm	86kg	72 (25-0-47)	2	2019-2024	21y 40d	26y 153d
16	6	Miles, Geoff	1962-01-10	185cm	85kg	71 (38-0-33)	33	1987-1990	25y 78d	28y 221d
279	7	Ginbey, Reuben	2004-09-10	191cm	83kg	69 (9-0-60)	2	2023-2026	18y 189d	21y 221d
96	29	Donnelly, Andrew	1973-03-29	190cm	90kg	68 (37-0-31)	69	1996-2000	23y 2d	27y 130d
14	8	Malaxos, Stephen	1961-06-19	177cm	83kg	66 (37-1-28)	30	1987-1990	25y 283d	29y 88d
25	12	Scott, Phil	1961-01-17	193cm	91kg	66 (35-0-31)	41	1987-1990	26y 85d	29y 255d
82	21	Schofield, Jarrad	1975-01-30	178cm	80kg	63 (39-0-24)	34	1993-1998	18y 134d	23y 219d
259	23	Witherden, Alex	1998-09-10	188cm	85kg	62 (14-0-48)	3	2021-2024	22y 218d	25y 343d
250	31	Jones, Jamaine	1998-09-29	180cm	81kg	59 (14-0-45)	19	2020-2024	21y 272d	25y 295d
1	2	Annear, John	1961-06-17	178cm	80kg	58 (25-0-33)	40	1987-1990	25y 285d	28y 349d
280	5	Hunt, Jayden	1995-04-03	187cm	82kg	58 (9-0-49)	15	2023-2025	27y 349d	30y 86d
36	23	Rance, Murray	1962-01-25	191cm	89kg	57 (29-1-27)	7	1988-1990	26y 68d	28y 233d
27	10	Turner, Dean	1959-10-06	178cm	80kg	56 (27-0-29)	28	1987-1990	27y 194d	30y 358d
251	42	Edwards, Harry	2000-10-01	197cm	87kg	56 (10-0-46)	 	2020-2026	19y 305d	25y 172d
18	20	Peos, Paul	1968-01-28	183cm	85kg	55 (27-2-26)	34	1987-1992, 1995	19y 60d	27y 197d
123	15	Chambers, Callum	1979-11-19	184cm	78kg	54 (20-1-33)	38	2000-2004	20y 175d	24y 214d
127	35	Green, Kasey	1979-09-10	187cm	87kg	54 (21-1-32)	8	2000-2005	20y 296d	26y 14d
10	15	Laidley, Dani	1967-03-27	184cm	77kg	52 (29-1-22)	11	1987-1990, 1992	20y 2d	25y 126d
232	19	Vardy, Nathan	1991-06-25	200cm	98kg	52 (31-0-21)	22	2017-2019, 2021	25y 274d	30y 57d
283	41	Maric, Ryan	2004-09-06	196cm	93kg	52 (8-0-44)	17	2023-2026	18y 277d	21y 190d
238	44	Rioli, Willie	1995-06-04	175cm	77kg	51 (31-0-20)	60	2018-2019, 2022	22y 301d	27y 77d
131	22	Collica, Michael	1977-07-09	185cm	85kg	50 (18-1-31)	2	2001-2003	23y 266d	26y 46d
2	38	Barich, Adrian	1963-12-05	177cm	85kg	47 (25-0-22)	27	1987-1989, 1991-1992	23y 114d	28y 143d
52	13	Watters, Scott	1969-01-25	175cm	82kg	46 (30-2-14)	13	1989-1992	20y 100d	23y 218d
116	14	Cummings, Scott	1974-01-18	194cm	105kg	46 (21-1-24)	158	1999-2001	25y 69d	27y 212d
125	38	Haynes, David	1981-06-10	189cm	94kg	46 (20-2-24)	43	2000-2003	18y 359d	22y 88d
172	27	McKinley, Ben	1987-03-04	185cm	85kg	46 (13-0-33)	89	2007-2010	20y 132d	23y 156d
130	46	Carroll, Trent	1978-04-28	192cm	90kg	45 (19-0-26)	6	2001-2004	22y 338d	26y 53d
196	28	Smith, Ashley	1990-07-20	186cm	85kg	45 (26-0-19)	10	2010-2014	19y 355d	24y 5d
286	9	Reid, Harley	2005-04-17	187cm	85kg	45 (8-0-37)	27	2024-2026	18y 335d	21y 2d
37	35	Ugle, Troy	1968-04-18	178cm	82kg	43 (26-0-17)	43	1988-1993	19y 356d	25y 77d
56	34	Irving, Dean	1966-09-01	200cm	102kg	43 (32-1-10)	9	1990-1993	23y 212d	26y 270d
76	23	Harding, Paul	1964-06-04	193cm	98kg	43 (28-1-14)	5	1992-1994	27y 306d	30y 15d
98	5	Lovell, Andy	1970-07-28	180cm	82kg	43 (25-0-18)	20	1996-1998	25y 247d	27y 362d
271	34	Williams, Jack	2003-12-01	198cm	94kg	42 (7-0-35)	37	2022-2025	18y 116d	21y 230d
6	4	Glendinning, Ross	1956-09-17	188cm	89kg	40 (22-0-18)	111	1987-1988	30y 193d	31y 352d
118	42	Rintoul, Chad	1974-07-31	180cm	86kg	39 (19-1-19)	10	1999-2000	24y 240d	25y 337d
191	43	Hams, Ashton	1986-09-06	174cm	77kg	39 (23-0-16)	41	2010-2013	23y 222d	26y 331d
253	24	ONeill, Xavier	2000-08-03	185cm	81kg	39 (10-0-29)	8	2020-2023	20y 20d	23y 9d
51	27	Jackson, Stevan	1970-03-09	190cm	102kg	38 (22-0-16)	68	1989-1991	19y 52d	21y 175d
146	2	McDougall, Andrew	1983-06-29	197cm	97kg	38 (22-0-16)	48	2002-2006	19y 64d	23y 23d
137	40	Wilson, Troy	1972-01-19	189cm	100kg	37 (13-0-24)	83	2001-2003	29y 72d	31y 202d
160	22	Graham, Jaymie	1983-02-06	195cm	98kg	37 (24-0-13)	13	2005-2008	22y 62d	25y 142d
260	16	Edwards, Luke	2002-02-12	188cm	83kg	37 (8-0-29)	3	2021-2024	19y 114d	22y 166d
9	25	Keene, Laurie	1961-02-01	202cm	95kg	36 (16-1-19)	38	1987-1990	26y 56d	29y 240d
20	27	Zanotti, Mark	1964-11-08	185cm	88kg	36 (17-0-19)	6	1987-1988	22y 141d	23y 257d
168	35	Armstrong, Steven	1984-01-12	180cm	80kg	36 (20-0-16)	27	2006-2008	22y 171d	24y 231d
278	18	Chesser, Campbell	2003-04-27	186cm	85kg	36 (6-0-30)	7	2023-2025	19y 325d	22y 118d
281	44	Long, Noah	2004-08-23	179cm	78kg	36 (5-0-31)	12	2023-2025	18y 207d	21y
282	8	Hewett, Elijah	2004-05-27	186cm	86kg	36 (4-0-32)	14	2023, 2025-2026	18y 303d	21y 327d
87	20	Bond, Shane	1975-07-09	181cm	79kg	34 (24-0-10)	20	1994-1996	18y 260d	21y 32d
185	15	Swift, Tom	1990-07-06	191cm	85kg	34 (14-0-20)	8	2009-2012	18y 327d	22y 35d
215	18	Ellis, Xavier	1988-02-28	186cm	81kg	34 (21-1-12)	9	2014-2016	26y 23d	28y 104d
97	23	Fewster, Brendon	1974-01-04	193cm	101kg	33 (16-0-17)	27	1996-1999	22y 87d	25y 230d
107	22	Stone, Nicholas	1972-09-19	187cm	89kg	33 (19-0-14)	4	1997-2000	24y 212d	27y 265d
149	16	Adkins, Damien	1981-01-09	181cm	75kg	32 (22-0-10)	24	2003-2005	22y 114d	24y 188d
256	29	Foley, Luke	1999-10-08	188cm	75kg	32 (5-0-27)	2	2020-2023	20y 345d	23y 308d
240	41	Ah Chee, Brendon	1993-12-21	189cm	88kg	31 (19-0-12)	14	2018-2021	24y 142d	27y 203d
8	26	Ishchenko, Alex	1964-04-20	201cm	110kg	30 (16-0-14)	10	1987-1988	22y 343d	24y 73d
22	30	Gastev, John	1964-08-11	180cm	76kg	30 (17-0-13)	31	1987-1988	22y 236d	24y 23d
214	44	Bennell, Jamie	1990-06-07	179cm	78kg	30 (19-0-11)	3	2014-2016	23y 289d	25y 301d
285	10	Brockman, Tyler	2002-11-22	181cm	75kg	30 (3-0-27)	15	2024-2025	21y 116d	22y 274d
19	32	Wrensted, Murray	1964-08-26	174cm	85kg	29 (15-0-14)	12	1987-1988	22y 215d	24y 8d
79	32	Clape, Matt	1969-05-28	187cm	86kg	29 (21-0-8)	14	1992-1994	23y 23d	25y 70d
207	22	Sinclair, Callum	1989-09-23	200cm	96kg	29 (22-1-6)	18	2013-2015	23y 196d	26y 10d
136	8	Taylor, Richard	1973-07-14	173cm	76kg	28 (9-0-19)	11	2001-2002	27y 261d	29y 49d
140	26	Gaspar, Travis	1981-03-28	197cm	95kg	28 (13-1-14)	15	2001-2005	20y 52d	24y 180d
190	18	Dalziell, Bradd	1987-03-15	184cm	82kg	28 (10-0-18)	19	2010-2013	23y 26d	26y 169d
203	34	Brennan, Jacob	1990-01-24	188cm	82kg	28 (17-0-11)	2	2012-2014	22y 103d	24y 169d
261	36	West, Connor	1999-05-07	181cm	80kg	28 (4-0-24)	7	2021-2023	22y 72d	24y 27d
275	33	Bazzo, Rhett	2003-10-17	195cm	86kg	28 (2-0-26)	 	2022-2025	18y 244d	21y 310d
293	3	Baker, Liam	1998-01-27	173cm	72kg	28 (3-0-25)	9	2025-2026	27y 48d	28y 82d
41	21	OConnell, David	1963-06-22	193cm	89kg	27 (13-0-14)	6	1988-1990	25y 18d	26y 311d
265	10	Petrevski-Seton, Sam	1998-02-19	182cm	78kg	27 (2-0-25)	4	2022-2023	24y 29d	25y 188d
92	37	Lyle, Brayden	1973-03-06	178cm	81kg	26 (14-0-12)	5	1995-1996	22y 61d	23y 178d
133	21	Merenda, Mark	1975-10-29	181cm	81kg	26 (10-0-16)	26	2001-2002	25y 154d	26y 250d
178	30	Spangher, Matthew	1987-04-23	195cm	96kg	26 (6-0-20)	3	2008-2010	20y 355d	23y 127d
290	25	Flynn, Matt	1997-09-13	200cm	103kg	26 (3-0-23)	8	2024-2026	26y 262d	28y 203d
257	7	Langdon, Zac	1995-11-13	177cm	81kg	25 (11-0-14)	9	2021-2022	25y 128d	26y 280d
15	1	Matera, Wally	1963-09-09	170cm	64kg	24 (11-0-13)	26	1987-1988	23y 201d	24y 360d
119	45	Bellotti, Laurie	1976-02-28	194cm	91kg	24 (11-1-12)	2	1999-2000	23y 42d	24y 137d
7	33	Holmes, Don	1959-01-05	180cm	77kg	23 (13-0-10)	40	1987-1989	28y 83d	30y 240d
43	11	Breman, Todd	1965-10-28	183cm	80kg	23 (10-0-13)	15	1989-1990	23y 154d	24y 336d
104	14	Grgic, Ilija	1972-03-05	203cm	106kg	23 (12-0-11)	15	1997-1998	25y 24d	26y 50d
182	42	Maister, Beau	1986-03-20	194cm	98kg	23 (5-0-18)	1	2008-2010	22y 65d	24y 105d
244	16	Hickey, Tom	1991-03-06	201cm	96kg	23 (13-0-10)	9	2019-2020	28y 17d	29y 184d
289	43	Dewar, Tyrell	2004-03-27	185cm	67kg	23 (3-0-20)	10	2024-2025	20y 46d	21y 149d
291	44	Hutchinson, Jack	2001-11-10	190cm	 	23 (1-0-22)	3	2024-2025	22y 211d	23y 258d
294	17	Graham, Jack	1998-02-25	181cm	82kg	23 (3-0-20)	4	2025-2026	27y 19d	28y 46d
141	8	Humm, Jeremy	1983-01-05	182cm	81kg	22 (8-1-13)	1	2001-2004	18y 155d	21y 139d
230	1	Mitchell, Sam	1982-10-12	180cm	84kg	22 (13-0-9)	4	2017	34y 165d	34y 339d
242	10	Brander, Jarrod	1999-02-11	195cm	92kg	22 (10-0-12)	5	2018-2021	19y 124d	22y 191d
88	29	Spinks, Brett	1973-11-07	194cm	110kg	21 (12-0-9)	14	1994-1997	20y 139d	23y 239d
236	18	Venables, Daniel	1998-11-19	187cm	84kg	21 (16-0-5)	11	2018-2019	19y 126d	20y 179d
273	39	Clark, Greg	1997-05-24	195cm	94kg	21 (0-0-21)	3	2022-2023	24y 340d	26y 80d
13	18	MacNish, Andrew	1965-09-11	180cm	73kg	20 (13-0-7)	29	1987, 1989	21y 199d	23y 350d
24	22	OConnell, Michael	1962-01-17	190cm	86kg	20 (10-0-10)	13	1987-1988	25y 85d	26y 187d
95	22	Downsborough, Ian	1972-01-19	192cm	94kg	20 (12-0-8)	5	1995-1996	23y 163d	24y 232d
296	22	Reid, Archer	2005-09-19	203cm	94kg	20 (2-0-18)	8	2025-2026	19y 178d	20y 212d
174	12	McNamara, Jamie	1988-03-06	183cm	87kg	19 (5-0-14)	4	2007-2009	19y 171d	21y 175d
17	7	Narkle, Phil	1961-01-29	178cm	72kg	18 (8-0-10)	18	1987, 1990	26y 59d	29y 209d
26	2	Wiley, Robert	1955-03-24	178cm	80kg	18 (10-0-8)	24	1987	32y 19d	32y 159d
128	31	Munro, Kane	1982-03-11	182cm	75kg	18 (6-1-11)	11	2000-2003	18y 141d	21y 151d
295	16	Owies, Matthew	1997-03-19	179cm	84kg	18 (1-0-17)	8	2025-2026	27y 362d	29y 24d
269	40	Jamieson, Callum	2000-07-31	200cm	94kg	17 (1-0-16)	 	2022-2024	21y 239d	23y 250d
297	41	Brock, Sandy	2002-12-14	198cm	90kg	17 (1-0-16)	 	2025-2026	22y 113d	23y 126d
231	21	Petrie, Drew	1982-10-15	197cm	101kg	16 (8-0-8)	16	2017	34y 162d	34y 336d
292	29	Hall, Clay	2005-05-12	190cm	88kg	16 (2-0-14)	2	2024-2025	19y 82d	20y 103d
301	45	McCarthy, Tom	2000-07-12	188cm	89kg	16 (2-0-14)	 	2025-2026	24y 338d	25y 281d
62	40	McGrath, Craig	1963-10-09	190cm	88kg	15 (12-1-2)	13	1990-1991	26y 243d	27y 200d
112	35	Crabb, Jaxon	1979-11-07	178cm	81kg	15 (4-0-11)	2	1998-2000	18y 168d	20y 250d
181	19	Houlihan, Tim	1989-02-10	189cm	79kg	15 (5-0-10)	1	2008-2009	19y 104d	20y 199d
241	33	Ainsworth, Brayden	1998-11-27	184cm	80kg	15 (10-0-5)	4	2018, 2020-2022	19y 166d	23y 120d
302	35	Shanahan, Jobe	2006-08-02	195cm	87kg	15 (2-0-13)	19	2025-2026	18y 330d	19y 260d
180	45	Davis, Ryan	1989-06-07	188cm	85kg	14 (3-0-11)	4	2008-2009	18y 345d	20y 76d
223	36	McInnes, Fraser	1993-07-19	197cm	91kg	14 (9-0-5)	7	2015-2018	21y 281d	24y 346d
298	38	Davis, Hamish	2006-05-02	190cm	85kg	14 (2-0-12)	2	2025-2026	18y 339d	19y 352d
38	9	Hutton, Brent	1964-04-15	185cm	80kg	13 (4-0-9)	9	1988-1989	24y 8d	25y 57d
64	16	Hepburn, Mark	1968-08-29	195cm	95kg	13 (10-0-3)	 	1991-1992	22y 207d	23y 360d
73	37	West, Robert	1969-03-07	178cm	77kg	13 (8-0-5)	4	1991-1993	22y 177d	24y 140d
86	33	Godden, Tony	1972-04-19	183cm	81kg	13 (8-0-5)	8	1993-1995	21y 118d	23y 52d
195	41	Strijk, Andrew	1987-10-18	183cm	84kg	13 (3-0-10)	11	2010-2012	22y 245d	24y 318d
276	26	Trew, Zane	2002-04-26	187cm	81kg	13 (3-0-10)	4	2022-2024	20y 68d	22y 114d
165	12	Morton, Mitch	1987-01-28	184cm	83kg	12 (6-0-6)	11	2005-2007	18y 190d	20y 216d
247	39	Cameron, Jarrod	2000-05-03	182cm	70kg	12 (11-0-1)	13	2019-2020	19y 48d	20y 98d
277	49	Culley, Jai	2003-02-24	193cm	87kg	12 (0-0-12)	7	2022-2024	19y 143d	21y 154d
300	26	Allan, Bo	2006-02-16	191cm	85kg	12 (2-0-10)	2	2025-2026	19y 76d	20y 62d
194	14	Stevens, Koby	1991-06-18	189cm	87kg	11 (4-0-7)	2	2010-2012	19y 2d	21y 27d
264	28	Naish, Patrick	1999-01-15	182cm	75kg	11 (1-0-10)	1	2022	23y 64d	23y 140d
40	16	Cormack, Joe	1966-08-30	178cm	79kg	10 (4-0-6)	7	1988-1989	21y 257d	23y 3d
44	22	Ellis, Shane	1960-09-27	188cm	86kg	10 (2-0-8)	8	1989	28y 185d	28y 306d
94	32	Blurton, Ashley	1975-03-05	177cm	81kg	10 (5-0-5)	2	1995-1997	20y 118d	22y 136d
135	25	Sierakowski, David	1974-12-29	193cm	101kg	10 (3-1-6)	3	2001-2003	26y 93d	28y 251d
192	47	Stevenson, Lewis	1989-07-30	189cm	88kg	10 (3-0-7)	2	2010	20y 268d	21y 8d
211	32	Tunbridge, Simon	1993-04-01	191cm	94kg	10 (4-0-6)	5	2013-2016	20y 87d	23y 134d
262	41	Dixon, Hugh	1999-02-26	196cm	96kg	10 (1-0-9)	4	2022	23y 22d	23y 175d
61	44	Begovich, Tony	1967-08-07	180cm	83kg	9 (7-0-2)	2	1990	22y 286d	23y 53d
78	15	Krummel, Brendan	1972-06-24	185cm	88kg	9 (6-0-3)	3	1992-1994	19y 307d	22y 37d
134	16	Prior, Michael	1973-09-06	182cm	79kg	9 (2-0-7)	1	2001-2002	27y 207d	28y 339d
139	12	Harding, Greg	1976-09-17	185cm	85kg	9 (0-0-9)	 	2001	24y 222d	24y 350d
210	30	Wilson, Blayne	1992-01-26	188cm	89kg	9 (5-0-4)	 	2013-2014	21y 134d	22y 217d
